abacero erceeiro
abacial abacial
abacá abacá
abad abade
abadengo abadengo
abadesa abadessa
abadía abadia
abajamiento abaixamento
abajar abaixar
abalizar balizar
abanar abanar
abandonar abandonar
abandono abandono
abanicar abanicar
abanico leque
abano abano
abarcar abarcar
abarrotar abarrotar
abatir abater
abdicación abdicação
abdicar abdicar
abdomen abdome
abdominal abdominal
abducción abdução
abductor abdutor
abecedario abecedário
abeja abelha
abejarrón besouro
abejaruco abelharuco
abejero abelheiro
abejorro besouro
abejón abelhão
aberración aberração
abeto abeto
abetunar betumar
abierto aberto
abismal abismal
abismar abismar
abismo abismo
abjuración abjuração
abjurar abjurar
ablación ablação
ablandamiento amolecimento
ablandar amolecer
ablativo ablativo
ablución ablução
abnegación abnegação
abnegar abnegar
abocar abocar
abofetear sbofetear
abogacía ocacia
abogado ogado
abogar ogar
abolengo avoengo
abolicionismo abolicionismo
abolicionista abolicionista
abolición abolição
abolir abolir
abollar amolgar
abombado abaulado
abombar abaular
abominable abominável
abominación abominação
abominar abominar
abonado abonado
abordar abordar
aborigen aborígene
abortar abortar
abortivo abortivo
aborto aborto
abotonar abotoar
aboyar boiar
abracadabra abracadabra
abrasar abrasar
abrasivo abrasivo
abrasión abrasão
abrazar abraçar
abrazo abraço
abrevar abrevar
abreviación abreviação
abreviar abreviar
abreviatura abreviatura
abrigar abrigar
abril abril
abrillantar abrilhantar
abrir abrir
abrochar abrochar
abrojo abrolho
abrumar abrumar
abrupto abrupto
absceso abscesso
absolutismo absolutismo
absoluto absoluto
absolver absolver
absorber absorver
absorción absorção
absorto absorto
abstemio abstêmio
abstención abstenção
abstracción abstração
abstracto abstrato
abstraer abstrair
abstraído abstraído
absuelto absolvido
absurdo absurdo
abuelo avô
abulia abulia
abundancia abundância
abundante abundante
abundar abundar
abusar abusar
abusivo abusivo
abuso abuso
abyección abjeção
abyecto abjeto
abúlico abúlico
acabado acabado
acabar acabar
acacia acácia
academia academia
acadêmico acadêmico
acaecer acontecer
acalorar acalorar
acampada acampamento
acaramelar caramelizar
acariciar acariciar
acaso acaso
acatamiento acatamento
acatólico acatólico
acaudillar acaudilhar
acceder aceder
accesibilidad acessibilidade
accesible acessível
accesión acessão
acceso acesso
accesorio acessório
accidentado acidentado
accidental acidental
accidente acidente
accionista acionista
acción ação
acefalía acefalia
aceleración aceleração
acelerador acelerador
acelerar acelerar
acelga acelga
acendrar acendrar
acento acento
acentuación acentuação
acentuar acentuar
acepción acepção
aceptar aceitar
acequia acéquia
acequiar acequiar
aceración aceração
acerado acerado
acerar acerar
acerbo acerbo
acerca acerca
acero aço
acertar acertar
acervo acervo
acetato acetato
acetileno acetileno
acetona acetona
achacar achacar
achaque achaque
acidez acidez
acidosis acidose
acidular acidular
acierto acerto
aclamación aclamação
aclamar aclamar
aclimatar aclimatar
acné acne
acobardar acovardar
acogedor acolhedor
acoger acolher
acogida acolhida
acompañante acompanhante
acompañar acompanhar
acondicionado acondicionado
acondicionar acondicionar
acontecer acontecer
acontecimiento acontecimento
acoplar acoplar
acordar acordar
acorde acorde
acordeonista acordeonista
acordeón acordeão
acosar acossar
acre acre
acrecentar acrescentar
acreedor credor
acrobacia acrobacia
acrobático acrobático
acróbata acrobata
acrópolis acrópole
acróstico acróstico
actitud atitude
activar ativar
actividad atividade
activista ativista
activo ativo
acto ato
actor ator
actora autora
actriz atriz
actual atual
actualidad atualidade
actualización atualização
actualizar atualizar
actuar atuar
acuarela aquarela
acuarelista aquarelista
acuario aquário
acudir acudir
acueducto aqueduto
acuerdo acordo
acuidad acuidade
acumulación acumulação
acumular acumular
acuoso aquoso
acupuntura acupuntura
acusación acusação
acusado acusado
acusar acusar
acusativo acusativo
acuático aquático
acuñación cunhagem
acuñar cunhar
acá cá
acéfalo acéfalo
acérrimo acérrimo
acético acético
acústica acústica
acústico acústico
adagio adágio
adaptación adaptação
adaptar adaptar
adecuación adequação
adecuado adequado
adecuar adequar
adelantar adiantar
adelante adiante
adelgazar magrecer
ademán gesto
además além
adentro adentro
adepto adepto
aderezar adereçar
aderezo adereço
adherencia aderência
adherente aderente
adherir aderir
adhesivo adesivo
adhesión adesão
adicional adicional
adicionar adicionar
adición adição
adiestrar adestrar
adiposo adiposo
aditivo aditivo
adivinanza adivinhação
adivinar adivinhar
adivino adivinho
adiós adeus
administración administração
administrador administrador
administrar administrar
administrativo administrativo
admirable admirável
admirador admirador
admirar admirar
admisible admissível
admisión admissão
admitir admitir
admonición admonição
adolecer adoecer
adolescencia adolescência
adolescente adolescente
adopción adoção
adoptar adotar
adoptivo adotivo
adorable adorável
adoración adoração
adorar adorar
adormecer adormecer
adormecimiento adormecimento
adornar adornar
adorno adorno
adquirir adquirir
afectar afetar
agregar agregar
agua água
ahora agora
aire ar
allí ali
alma alma
almorzar almoçar
alumno aluno
amable amável
amigo amigo
amor amor
andar andar
animal animal
antes antes
aparecer aparecer
apoyo apoio
aprender aprender
aquí aqui
arma arma
armar armar
arte arte
asistir assistir
atención atenção
atreverse atrever-se
ayer ontem
ayuda ajuda
azul azul
año ano
bailar dançar
bajo baixo
banco banco
barato barato
barco barco
barrer varrer
bastante bastante
beber beber
bebida bebida
bebé bebê
belleza beleza
bien bem
blanco branco
boca boca
boda casamento
bonito bonito
borrar apagar
brillar brilhar
buen buen
bueno bom
buscar buscar
básico básico
caballo cavalo
caber caber
cabeza cabeça
cabeça cabeça
caja caixa
caliente quente
cambiar mudar
cambio mudança
caminar caminhar
cansado cansado
cantar cantar
casa casa
casi quase
caso caso
catorce catorze
cem mil
cena jantar
cerca perto
cielo céu
cien cem
cinco cinco
cincuenta cinquenta
cine cinema
ciudad cidade
claro claro
clase aula
coche carro
codo cotovelo
coger pegar
comer comer
comprar comprar
comprender compreender
conocer conhecer
conseguir conseguir
consejo conselho
contar contar
correr correr
cortar cortar
cosa coisa
cosas coisas
crear criar
creer crer
cuaderno caderno
cual qual
cuando quando
cuatro quatro
cuenta conta
cuerpo corpo
cuidado cuidado
cumplir cumprir
cuándo quando
dar dar
de de
decidir decidir
decir dizer
dejar deixar
del do
dentro dentro
desarrollar desenvolver
descansar descansar
desear desejar
diccionario dicionário
diciembre dezembro
diferente diferente
dificil difícil
dinero dinheiro
dios deus
domingo domingo
donde onde
dos dois
dulce doce
duro duro
día dia
echar jogar
educación educação
educar educar
ejemplo exemplo
ella ela
ellos eles
en en
encantar encantar
encontrar encontrar
enero janeiro
enseñar ensinar
entender entender
entonces então
entrar entrar
enviar enviar
equipo equipe
escribir escrever
escuchar escutar
escuela escola
espacio espaço
esperar esperar
esposa esposa
esposo esposo
esquina esquina
estación estação
estar estar
estudiante estudante
estudiar estudar
examen exame
excelente excelente
excepcional excepcional
familia família
famoso famoso
favor favor
febrero fevereiro
feliz feliz
fiesta festa
fin fim
final final
firma assinatura
flor flor
fondo fundo
forma forma
fortaleza fortaleza
forzar forçar
fruta fruta
frío frio
fuerte forte
fácil fácil
gente gente
grande grande
gratis grátis
grupo grupo
guardar guardar
haber haver
habitación quarto
hablar falar
hacer fazer
hallar encontrar
hermana irmã
hermano irmão
hermoso bonito
hija filha
hijo filho
historia história
hola olá
hora hora
hoy hoje
idea ideia
importante importante
inicio início
interesante interessante
isla ilha
izquierda esquerda
joven jovem
juego jogo
julio julho
juntar juntar
juntos juntos
largo longo
leer ler
libro livro
limpiar limpar
llamar chamar
llegar chegar
luego depois
luz luz
malo mau
mano mão
mar mar
marido marido
mañana amanhã
mujer mulher
mundo mundo
nada nada
nadie ninguém
nombre nome
nuevo novo
nunca nunca
número número
oportunidad oportunidade
orden ordem
oscuro escuro
oído ouvido
padre pai
palabra palavra
papel papel
para para
parecer parecer
parte parte
pasar passar
paso passo
pedir pedir
pequeño pequeno
perder perder
persona pessoa
piedra pedra
poner colocar
preguntar perguntar
primero primeiro
problema problema
